# Columns : X	Y	Z	u	v
7.500000	-67.500000	12.000000	318.133353	1137.811544
22.500000	-67.500000	12.000000	208.721434	1140.608021
37.500000	-67.500000	12.000000	99.473885	1142.731013
-82.500000	-52.500000	12.000000	973.948379	1030.310368
-67.500000	-52.500000	12.000000	865.071734	1032.067486
-52.500000	-52.500000	12.000000	756.060717	1035.372513
-37.500000	-52.500000	12.000000	646.655509	1037.741066
-22.500000	-52.500000	12.000000	536.366874	1039.961262
-7.500000	-52.500000	12.000000	427.055263	1043.512958
7.500000	-52.500000	12.000000	316.820636	1045.933385
22.500000	-52.500000	12.000000	207.404421	1048.616560
37.500000	-52.500000	12.000000	97.206994	1050.620082
-82.500000	-37.500000	12.000000	978.262626	937.253187
-67.500000	-37.500000	12.000000	867.878378	939.273343
-52.500000	-37.500000	12.000000	757.990898	941.648544
-37.500000	-37.500000	12.000000	647.659113	945.104650
-22.500000	-37.500000	12.000000	536.463316	947.117508
-7.500000	-37.500000	12.000000	426.275102	949.251187
7.500000	-37.500000	12.000000	315.475492	952.072603
22.500000	-37.500000	12.000000	204.536462	954.472415
37.500000	-37.500000	12.000000	93.598836	957.739701
-82.500000	-22.500000	12.000000	981.443036	842.449850
-67.500000	-22.500000	12.000000	871.098128	845.294187
-52.500000	-22.500000	12.000000	759.729531	846.973434
-37.500000	-22.500000	12.000000	648.577457	850.139579
-22.500000	-22.500000	12.000000	537.521785	852.250253
-7.500000	-22.500000	12.000000	425.554893	854.868590
7.500000	-22.500000	12.000000	314.327601	857.406423
22.500000	-22.500000	12.000000	202.464017	859.809107
37.500000	-22.500000	12.000000	90.720884	862.400275
-82.500000	-7.500000	12.000000	985.292217	746.486976
-67.500000	-7.500000	12.000000	874.234129	749.497843
-52.500000	-7.500000	12.000000	761.725524	751.644076
-37.500000	-7.500000	12.000000	649.586445	754.483221
-22.500000	-7.500000	12.000000	537.731421	756.364052
-7.500000	-7.500000	12.000000	424.995215	758.890033
7.500000	-7.500000	12.000000	312.301461	761.409771
22.500000	-7.500000	12.000000	200.150784	764.111535
37.500000	-7.500000	12.000000	87.260413	767.001658
-82.500000	7.500000	12.000000	989.383778	649.508342
-67.500000	7.500000	12.000000	876.095088	652.199512
-52.500000	7.500000	12.000000	763.204261	653.618216
-37.500000	7.500000	12.000000	651.337551	656.401878
-22.500000	7.500000	12.000000	537.574999	658.778914
-7.500000	7.500000	12.000000	424.211461	661.216967
7.500000	7.500000	12.000000	311.039876	663.314615
22.500000	7.500000	12.000000	197.409134	666.143541
37.500000	7.500000	12.000000	84.658921	669.377061
-82.500000	22.500000	12.000000	993.146826	550.098513
-67.500000	22.500000	12.000000	879.894824	553.286885
-52.500000	22.500000	12.000000	766.071611	555.246085
-37.500000	22.500000	12.000000	652.149842	557.529679
-22.500000	22.500000	12.000000	538.363301	559.358264
-7.500000	22.500000	12.000000	424.124735	562.252882
7.500000	22.500000	12.000000	309.465408	564.437553
22.500000	22.500000	12.000000	195.831275	566.806457
37.500000	22.500000	12.000000	80.952937	569.331705
-82.500000	37.500000	12.000000	996.851834	450.155913
-67.500000	37.500000	12.000000	882.418654	452.162068
-52.500000	37.500000	12.000000	768.005831	454.496836
-37.500000	37.500000	12.000000	653.697819	456.416521
-22.500000	37.500000	12.000000	538.761968	459.118490
-7.500000	37.500000	12.000000	423.693515	461.216878
7.500000	37.500000	12.000000	308.604386	464.062700
22.500000	37.500000	12.000000	193.510145	465.959122
37.500000	37.500000	12.000000	77.858771	469.178447
-82.500000	52.500000	12.000000	999.993594	347.520633
-67.500000	52.500000	12.000000	884.864368	350.109521
-52.500000	52.500000	12.000000	769.687548	351.740119
-37.500000	52.500000	12.000000	654.347337	354.817153
-22.500000	52.500000	12.000000	538.421360	357.454515
-7.500000	52.500000	12.000000	422.720304	359.312050
7.500000	52.500000	12.000000	307.281439	361.683558
22.500000	52.500000	12.000000	190.671238	364.182297
37.500000	52.500000	12.000000	74.199222	366.558045
-82.500000	67.500000	12.000000	1004.283400	244.384233
-67.500000	67.500000	12.000000	888.172984	246.758838
-52.500000	67.500000	12.000000	771.966233	248.838171
-37.500000	67.500000	12.000000	655.694514	250.757119
-22.500000	67.500000	12.000000	539.202821	252.902056
-7.500000	67.500000	12.000000	422.853181	255.409703
7.500000	67.500000	12.000000	305.884932	257.511374
22.500000	67.500000	12.000000	188.832449	260.223324
37.500000	67.500000	12.000000	71.633654	262.864194
-82.500000	82.500000	12.000000	1008.290677	138.120657
-67.500000	82.500000	12.000000	892.231269	140.532283
-52.500000	82.500000	12.000000	774.118834	143.062707
-37.500000	82.500000	12.000000	657.398132	145.067429
-22.500000	82.500000	12.000000	539.576133	147.933369
-7.500000	82.500000	12.000000	422.273713	149.570711
7.500000	82.500000	12.000000	303.876666	152.174321
22.500000	82.500000	12.000000	186.486926	154.126961
37.500000	82.500000	12.000000	67.594990	156.347920
